2021-11-22 07:38:12 LK Repeating  process in 189
2021-11-22 08:46:12 LK Repeating  process in 27
2021-11-22 08:46:13 LK Repeating  process in 26
2021-11-22 08:46:14 LK Repeating  process in 25
2021-11-22 08:46:15 LK Repeating  process in 24
2021-11-22 08:46:16 LK Repeating  process in 23
2021-11-22 08:46:17 LK Repeating  process in 22
2021-11-22 08:46:18 LK Repeating  process in 21
2021-11-22 08:46:19 LK Repeating  process in 20
2021-11-22 08:46:20 LK Repeating  process in 19
2021-11-22 08:46:21 LK Repeating  process in 18
2021-11-22 08:46:22 LK Repeating  process in 17
2021-11-22 08:46:23 LK Repeating  process in 16
2021-11-22 08:46:24 LK Repeating  process in 15
2021-11-22 08:46:25 LK Repeating  process in 14
2021-11-22 08:46:26 LK Repeating  process in 13
2021-11-22 08:46:27 LK Repeating  process in 12
2021-11-22 08:46:28 LK Repeating  process in 11
2021-11-22 08:46:29 LK Repeating  process in 10
2021-11-22 08:46:30 LK Repeating  process in 9
2021-11-22 08:46:31 LK Repeating  process in 8
2021-11-22 08:46:32 LK Repeating  process in 7
2021-11-22 08:46:33 LK Repeating  process in 6
2021-11-22 08:46:34 LK Repeating  process in 5
2021-11-22 08:46:35 LK Repeating  process in 4
2021-11-22 08:46:36 LK Repeating  process in 3
2021-11-22 08:46:37 LK Repeating  process in 2
2021-11-22 08:46:38 LK Repeating  process in 1
2021-11-22 08:46:39 LK Repeating  process in 0
2021-11-22 08:46:40 LK Starting rundown download
2021-11-22 08:46:52 LK Converting from NSML to dict
2021-11-22 08:46:52 LK Calculating backtimes
2021-11-22 08:46:52 LK Converting dict to json
2021-11-22 08:46:52 LK Uploading json files to AWS
2021-11-22 08:46:52 LK Repeating  process in 29
2021-11-22 08:46:53 LK Repeating  process in 28
2021-11-22 08:46:54 LK Repeating  process in 27
2021-11-22 08:46:55 LK Repeating  process in 26
2021-11-22 08:46:56 LK Repeating  process in 25
2021-11-22 08:46:57 LK Repeating  process in 24
2021-11-22 08:46:58 LK Repeating  process in 23
2021-11-22 08:46:59 LK Repeating  process in 22
2021-11-22 08:47:00 LK Repeating  process in 21
2021-11-22 08:47:01 LK Repeating  process in 20
2021-11-22 08:47:02 LK Repeating  process in 19
2021-11-22 08:47:03 LK Repeating  process in 18
2021-11-22 08:47:04 LK Repeating  process in 17
2021-11-22 08:47:05 LK Repeating  process in 16
2021-11-22 08:47:06 LK Repeating  process in 15
2021-11-22 08:47:07 LK Repeating  process in 14
2021-11-22 08:47:08 LK Repeating  process in 13
2021-11-22 08:47:09 LK Repeating  process in 12
2021-11-22 08:47:10 LK Repeating  process in 11
2021-11-22 08:47:11 LK Repeating  process in 10
2021-11-22 08:47:12 LK Repeating  process in 9
2021-11-22 08:47:13 LK Repeating  process in 8
2021-11-22 08:47:14 LK Repeating  process in 7
2021-11-22 08:47:15 LK Repeating  process in 6
2021-11-22 08:47:16 LK Repeating  process in 5
2021-11-22 08:47:17 LK Repeating  process in 4
2021-11-22 08:47:18 LK Repeating  process in 3
2021-11-22 08:47:19 LK Repeating  process in 2
2021-11-22 08:47:20 LK Repeating  process in 1
2021-11-22 08:47:21 LK Repeating  process in 0
2021-11-22 08:47:23 LK Starting rundown download
2021-11-22 08:47:34 LK Converting from NSML to dict
2021-11-22 08:47:34 LK Calculating backtimes
2021-11-22 08:47:34 LK Converting dict to json
2021-11-22 08:47:34 LK File identical. No upload.
2021-11-22 08:47:34 LK Repeating  process in 29
2021-11-22 08:47:35 LK Repeating  process in 28
2021-11-22 08:47:36 LK Repeating  process in 27
2021-11-22 08:47:37 LK Repeating  process in 26
2021-11-22 08:47:38 LK Repeating  process in 25
2021-11-22 08:47:39 LK Repeating  process in 24
2021-11-22 08:47:40 LK Repeating  process in 23
2021-11-22 08:47:41 LK Repeating  process in 22
2021-11-22 08:47:42 LK Repeating  process in 21
2021-11-22 08:47:43 LK Repeating  process in 20
2021-11-22 08:47:44 LK Repeating  process in 19
2021-11-22 08:47:45 LK Repeating  process in 18
2021-11-22 08:47:46 LK Repeating  process in 17
2021-11-22 08:47:47 LK Repeating  process in 16
2021-11-22 08:47:48 LK Repeating  process in 15
2021-11-22 08:47:49 LK Repeating  process in 14
2021-11-22 08:47:50 LK Repeating  process in 13
2021-11-22 08:47:51 LK Repeating  process in 12
2021-11-22 08:47:52 LK Repeating  process in 11
2021-11-22 08:47:53 LK Repeating  process in 10
2021-11-22 08:47:54 LK Repeating  process in 9
2021-11-22 08:47:55 LK Repeating  process in 8
2021-11-22 08:47:56 LK Repeating  process in 7
2021-11-22 08:47:57 LK Repeating  process in 6
2021-11-22 08:47:58 LK Repeating  process in 5
2021-11-22 08:47:59 LK Repeating  process in 4
2021-11-22 08:48:00 LK Repeating  process in 3
2021-11-22 08:48:01 LK Repeating  process in 2
2021-11-22 08:48:02 LK Repeating  process in 1
2021-11-22 08:48:03 LK Repeating  process in 0
2021-11-22 08:48:04 LK Starting rundown download
2021-11-22 08:48:17 LK Converting from NSML to dict
2021-11-22 08:48:17 LK Calculating backtimes
2021-11-22 08:48:17 LK Converting dict to json
2021-11-22 08:48:17 LK File identical. No upload.
2021-11-22 08:48:17 LK Repeating  process in 29
2021-11-22 08:48:18 LK Repeating  process in 28
2021-11-22 08:48:19 LK Repeating  process in 27
2021-11-22 08:48:20 LK Repeating  process in 26
2021-11-22 08:48:21 LK Repeating  process in 25
2021-11-22 08:48:22 LK Repeating  process in 24
2021-11-22 08:48:23 LK Repeating  process in 23
2021-11-22 08:48:24 LK Repeating  process in 22
2021-11-22 08:48:25 LK Repeating  process in 21
2021-11-22 08:48:26 LK Repeating  process in 20
2021-11-22 08:48:27 LK Repeating  process in 19
2021-11-22 08:48:28 LK Repeating  process in 18
2021-11-22 08:48:29 LK Repeating  process in 17
2021-11-22 08:48:30 LK Repeating  process in 16
2021-11-22 08:48:31 LK Repeating  process in 15
2021-11-22 08:48:32 LK Repeating  process in 14
2021-11-22 08:48:33 LK Repeating  process in 13
2021-11-22 08:48:34 LK Repeating  process in 12
2021-11-22 08:48:35 LK Repeating  process in 11
2021-11-22 08:48:36 LK Repeating  process in 10
2021-11-22 08:48:37 LK Repeating  process in 9
2021-11-22 08:48:38 LK Repeating  process in 8
2021-11-22 08:48:39 LK Repeating  process in 7
2021-11-22 08:48:40 LK Repeating  process in 6
2021-11-22 08:48:41 LK Repeating  process in 5
2021-11-22 08:48:42 LK Repeating  process in 4
2021-11-22 08:48:43 LK Repeating  process in 3
2021-11-22 08:48:44 LK Repeating  process in 2
2021-11-22 08:48:45 LK Repeating  process in 1
2021-11-22 08:48:46 LK Repeating  process in 0
2021-11-22 08:48:47 LK Starting rundown download
2021-11-22 08:48:59 LK Converting from NSML to dict
2021-11-22 08:48:59 LK Calculating backtimes
2021-11-22 08:48:59 LK Converting dict to json
2021-11-22 08:48:59 LK File identical. No upload.
2021-11-22 08:48:59 LK Repeating  process in 29
2021-11-22 08:49:00 LK Repeating  process in 28
2021-11-22 08:49:01 LK Repeating  process in 27
2021-11-22 08:49:02 LK Repeating  process in 26
2021-11-22 08:49:03 LK Repeating  process in 25
2021-11-22 08:49:04 LK Repeating  process in 24
2021-11-22 08:49:05 LK Repeating  process in 23
2021-11-22 08:49:06 LK Repeating  process in 22
2021-11-22 08:49:07 LK Repeating  process in 21
2021-11-22 08:49:08 LK Repeating  process in 20
2021-11-22 08:49:09 LK Repeating  process in 19
2021-11-22 08:49:10 LK Repeating  process in 18
2021-11-22 08:49:11 LK Repeating  process in 17
2021-11-22 08:49:12 LK Repeating  process in 16
2021-11-22 08:49:13 LK Repeating  process in 15
2021-11-22 08:49:14 LK Repeating  process in 14
2021-11-22 08:49:15 LK Repeating  process in 13
2021-11-22 08:49:16 LK Repeating  process in 12
2021-11-22 08:49:17 LK Repeating  process in 11
2021-11-22 08:49:18 LK Repeating  process in 10
2021-11-22 08:49:19 LK Repeating  process in 9
2021-11-22 08:49:20 LK Repeating  process in 8
2021-11-22 08:49:21 LK Repeating  process in 7
2021-11-22 08:49:22 LK Repeating  process in 6
2021-11-22 08:49:23 LK Repeating  process in 5
2021-11-22 08:49:24 LK Repeating  process in 4
2021-11-22 08:49:25 LK Repeating  process in 3
2021-11-22 08:49:26 LK Repeating  process in 2
2021-11-22 08:49:27 LK Repeating  process in 1
2021-11-22 08:49:28 LK Repeating  process in 0
2021-11-22 08:49:29 LK Starting rundown download
2021-11-22 08:49:41 LK Converting from NSML to dict
2021-11-22 08:49:41 LK Calculating backtimes
2021-11-22 08:49:41 LK Converting dict to json
2021-11-22 08:49:41 LK Uploading json files to AWS
2021-11-22 08:49:41 LK Repeating  process in 29
2021-11-22 08:49:42 LK Repeating  process in 28
2021-11-22 08:49:43 LK Repeating  process in 27
2021-11-22 08:49:44 LK Repeating  process in 26
2021-11-22 08:49:45 LK Repeating  process in 25
2021-11-22 08:49:46 LK Repeating  process in 24
2021-11-22 08:49:47 LK Repeating  process in 23
2021-11-22 08:49:48 LK Repeating  process in 22
2021-11-22 08:49:49 LK Repeating  process in 21
2021-11-22 08:49:50 LK Repeating  process in 20
2021-11-22 08:49:51 LK Repeating  process in 19
2021-11-22 08:49:52 LK Repeating  process in 18
2021-11-22 08:49:53 LK Repeating  process in 17
2021-11-22 08:49:54 LK Repeating  process in 16
2021-11-22 08:49:55 LK Repeating  process in 15
2021-11-22 08:49:56 LK Repeating  process in 14
2021-11-22 08:49:57 LK Repeating  process in 13
2021-11-22 08:49:58 LK Repeating  process in 12
2021-11-22 08:49:59 LK Repeating  process in 11
2021-11-22 08:50:00 LK Repeating  process in 10
2021-11-22 08:50:01 LK Repeating  process in 9
2021-11-22 08:50:02 LK Repeating  process in 8
2021-11-22 08:50:03 LK Repeating  process in 7
2021-11-22 08:50:04 LK Repeating  process in 6
2021-11-22 08:50:05 LK Repeating  process in 5
2021-11-22 08:50:06 LK Repeating  process in 4
2021-11-22 08:50:07 LK Repeating  process in 3
2021-11-22 08:50:08 LK Repeating  process in 2
2021-11-22 08:50:09 LK Repeating  process in 1
2021-11-22 08:50:10 LK Repeating  process in 0
2021-11-22 08:50:11 LK Starting rundown download
2021-11-22 08:50:23 LK Converting from NSML to dict
2021-11-22 08:50:23 LK Calculating backtimes
2021-11-22 08:50:23 LK Converting dict to json
2021-11-22 08:50:23 LK File identical. No upload.
2021-11-22 08:50:23 LK Repeating  process in 29
2021-11-22 08:50:24 LK Repeating  process in 28
2021-11-22 08:50:25 LK Repeating  process in 27
2021-11-22 08:50:26 LK Repeating  process in 26
2021-11-22 08:50:27 LK Repeating  process in 25
2021-11-22 08:50:28 LK Repeating  process in 24
2021-11-22 08:50:29 LK Repeating  process in 23
2021-11-22 08:50:30 LK Repeating  process in 22
2021-11-22 08:50:31 LK Repeating  process in 21
2021-11-22 08:50:32 LK Repeating  process in 20
2021-11-22 08:50:33 LK Repeating  process in 19
2021-11-22 08:50:34 LK Repeating  process in 18
2021-11-22 08:50:35 LK Repeating  process in 17
2021-11-22 08:50:36 LK Repeating  process in 16
2021-11-22 08:50:37 LK Repeating  process in 15
2021-11-22 08:50:38 LK Repeating  process in 14
2021-11-22 08:50:39 LK Repeating  process in 13
2021-11-22 08:50:40 LK Repeating  process in 12
2021-11-22 08:50:41 LK Repeating  process in 11
2021-11-22 08:50:42 LK Repeating  process in 10
2021-11-22 08:50:43 LK Repeating  process in 9
2021-11-22 08:50:44 LK Repeating  process in 8
2021-11-22 08:50:45 LK Repeating  process in 7
2021-11-22 08:50:46 LK Repeating  process in 6
2021-11-22 08:50:47 LK Repeating  process in 5
2021-11-22 08:50:48 LK Repeating  process in 4
2021-11-22 08:50:49 LK Repeating  process in 3
2021-11-22 08:50:50 LK Repeating  process in 2
2021-11-22 08:50:51 LK Repeating  process in 1
2021-11-22 08:50:52 LK Repeating  process in 0
2021-11-22 08:50:53 LK Starting rundown download
2021-11-22 08:51:05 LK Converting from NSML to dict
2021-11-22 08:51:05 LK Calculating backtimes
2021-11-22 08:51:05 LK Converting dict to json
2021-11-22 08:51:05 LK File identical. No upload.
2021-11-22 08:51:05 LK Repeating  process in 29
2021-11-22 08:51:06 LK Repeating  process in 28
2021-11-22 08:51:07 LK Repeating  process in 27
2021-11-22 08:51:08 LK Repeating  process in 26
2021-11-22 08:51:09 LK Repeating  process in 25
2021-11-22 08:51:10 LK Repeating  process in 24
2021-11-22 08:51:11 LK Repeating  process in 23
2021-11-22 08:51:12 LK Repeating  process in 22
2021-11-22 08:51:13 LK Repeating  process in 21
2021-11-22 08:51:14 LK Repeating  process in 20
2021-11-22 08:51:15 LK Repeating  process in 19
2021-11-22 08:51:16 LK Repeating  process in 18
2021-11-22 08:51:17 LK Repeating  process in 17
2021-11-22 08:51:18 LK Repeating  process in 16
2021-11-22 08:51:19 LK Repeating  process in 15
2021-11-22 08:51:20 LK Repeating  process in 14
2021-11-22 08:51:21 LK Repeating  process in 13
2021-11-22 08:51:22 LK Repeating  process in 12
2021-11-22 08:51:23 LK Repeating  process in 11
2021-11-22 08:51:24 LK Repeating  process in 10
2021-11-22 08:51:25 LK Repeating  process in 9
2021-11-22 08:51:26 LK Repeating  process in 8
2021-11-22 08:51:27 LK Repeating  process in 7
2021-11-22 08:51:28 LK Repeating  process in 6
2021-11-22 08:51:29 LK Repeating  process in 5
2021-11-22 08:51:30 LK Repeating  process in 4
2021-11-22 08:51:31 LK Repeating  process in 3
2021-11-22 08:51:32 LK Repeating  process in 2
2021-11-22 08:51:33 LK Repeating  process in 1
2021-11-22 08:51:34 LK Repeating  process in 0
2021-11-22 08:51:35 LK Starting rundown download
2021-11-22 08:51:47 LK Converting from NSML to dict
2021-11-22 08:51:47 LK Calculating backtimes
2021-11-22 08:51:47 LK Converting dict to json
2021-11-22 08:51:47 LK File identical. No upload.
2021-11-22 08:51:47 LK Repeating  process in 29
2021-11-22 08:51:48 LK Repeating  process in 28
2021-11-22 08:51:49 LK Repeating  process in 27
2021-11-22 08:51:50 LK Repeating  process in 26
2021-11-22 08:51:51 LK Repeating  process in 25
2021-11-22 08:51:52 LK Repeating  process in 24
2021-11-22 08:51:53 LK Repeating  process in 23
2021-11-22 08:51:54 LK Repeating  process in 22
2021-11-22 08:51:55 LK Repeating  process in 21
2021-11-22 08:51:56 LK Repeating  process in 20
2021-11-22 08:51:57 LK Repeating  process in 19
2021-11-22 08:51:58 LK Repeating  process in 18
2021-11-22 08:51:59 LK Repeating  process in 17
2021-11-22 08:52:00 LK Repeating  process in 16
2021-11-22 08:52:01 LK Repeating  process in 15
2021-11-22 08:52:02 LK Repeating  process in 14
2021-11-22 08:52:03 LK Repeating  process in 13
2021-11-22 08:52:04 LK Repeating  process in 12
2021-11-22 08:52:05 LK Repeating  process in 11
2021-11-22 08:52:06 LK Repeating  process in 10
2021-11-22 08:52:07 LK Repeating  process in 9
2021-11-22 08:52:08 LK Repeating  process in 8
2021-11-22 08:52:09 LK Repeating  process in 7
2021-11-22 08:52:10 LK Repeating  process in 6
2021-11-22 08:52:11 LK Repeating  process in 5
2021-11-22 08:52:12 LK Repeating  process in 4
2021-11-22 08:52:13 LK Repeating  process in 3
2021-11-22 08:52:14 LK Repeating  process in 2
2021-11-22 08:52:15 LK Repeating  process in 1
2021-11-22 08:52:16 LK Repeating  process in 0
2021-11-22 08:52:17 LK Starting rundown download
2021-11-22 08:52:29 LK Converting from NSML to dict
2021-11-22 08:52:29 LK Calculating backtimes
2021-11-22 08:52:29 LK Converting dict to json
2021-11-22 08:52:30 LK Uploading json files to AWS
2021-11-22 08:52:30 LK Repeating  process in 29
2021-11-22 08:52:31 LK Repeating  process in 28
2021-11-22 08:52:32 LK Repeating  process in 27
2021-11-22 08:52:33 LK Repeating  process in 26
2021-11-22 08:52:34 LK Repeating  process in 25
2021-11-22 08:52:35 LK Repeating  process in 24
2021-11-22 08:52:36 LK Repeating  process in 23
2021-11-22 08:52:37 LK Repeating  process in 22
2021-11-22 08:52:38 LK Repeating  process in 21
2021-11-22 08:52:39 LK Repeating  process in 20
2021-11-22 08:52:40 LK Repeating  process in 19
2021-11-22 08:52:41 LK Repeating  process in 18
2021-11-22 08:52:42 LK Repeating  process in 17
2021-11-22 08:52:43 LK Repeating  process in 16
2021-11-22 08:52:44 LK Repeating  process in 15
2021-11-22 08:52:45 LK Repeating  process in 14
2021-11-22 08:52:46 LK Repeating  process in 13
2021-11-22 08:52:47 LK Repeating  process in 12
2021-11-22 08:52:48 LK Repeating  process in 11
2021-11-22 08:52:49 LK Repeating  process in 10
2021-11-22 08:52:50 LK Repeating  process in 9
2021-11-22 08:52:51 LK Repeating  process in 8
2021-11-22 08:52:52 LK Repeating  process in 7
2021-11-22 08:52:53 LK Repeating  process in 6
2021-11-22 08:52:54 LK Repeating  process in 5
2021-11-22 08:52:55 LK Repeating  process in 4
2021-11-22 08:52:56 LK Repeating  process in 3
2021-11-22 08:52:57 LK Repeating  process in 2
2021-11-22 08:52:58 LK Repeating  process in 1
2021-11-22 08:52:59 LK Repeating  process in 0
2021-11-22 08:53:00 LK Starting rundown download
2021-11-22 08:53:12 LK Converting from NSML to dict
2021-11-22 08:53:12 LK Calculating backtimes
2021-11-22 08:53:12 LK Converting dict to json
2021-11-22 08:53:13 LK Uploading json files to AWS
2021-11-22 08:53:13 LK Repeating  process in 29
2021-11-22 08:53:14 LK Repeating  process in 28
2021-11-22 08:53:15 LK Repeating  process in 27
2021-11-22 08:53:16 LK Repeating  process in 26
2021-11-22 08:53:17 LK Repeating  process in 25
2021-11-22 08:53:18 LK Repeating  process in 24
2021-11-22 08:53:19 LK Repeating  process in 23
2021-11-22 08:53:20 LK Repeating  process in 22
2021-11-22 08:53:21 LK Repeating  process in 21
2021-11-22 08:53:22 LK Repeating  process in 20
2021-11-22 08:53:23 LK Repeating  process in 19
2021-11-22 08:53:24 LK Repeating  process in 18
2021-11-22 08:53:25 LK Repeating  process in 17
2021-11-22 08:53:26 LK Repeating  process in 16
2021-11-22 08:53:27 LK Repeating  process in 15
2021-11-22 08:53:28 LK Repeating  process in 14
2021-11-22 08:53:29 LK Repeating  process in 13
2021-11-22 08:53:30 LK Repeating  process in 12
2021-11-22 08:53:31 LK Repeating  process in 11
2021-11-22 08:53:32 LK Repeating  process in 10
2021-11-22 08:53:33 LK Repeating  process in 9
2021-11-22 08:53:34 LK Repeating  process in 8
2021-11-22 08:53:35 LK Repeating  process in 7
2021-11-22 08:53:36 LK Repeating  process in 6
2021-11-22 08:53:37 LK Repeating  process in 5
2021-11-22 08:53:38 LK Repeating  process in 4
2021-11-22 08:53:39 LK Repeating  process in 3
2021-11-22 08:53:40 LK Repeating  process in 2
2021-11-22 08:53:41 LK Repeating  process in 1
2021-11-22 08:53:42 LK Repeating  process in 0
2021-11-22 08:53:43 LK Starting rundown download
2021-11-22 08:53:55 LK Converting from NSML to dict
2021-11-22 08:53:55 LK Calculating backtimes
2021-11-22 08:53:55 LK Converting dict to json
2021-11-22 08:53:55 LK Uploading json files to AWS
2021-11-22 08:53:55 LK Repeating  process in 29
2021-11-22 08:53:56 LK Repeating  process in 28
2021-11-22 08:53:57 LK Repeating  process in 27
2021-11-22 08:53:58 LK Repeating  process in 26
2021-11-22 08:53:59 LK Repeating  process in 25
2021-11-22 08:54:00 LK Repeating  process in 24
2021-11-22 08:54:01 LK Repeating  process in 23
2021-11-22 08:54:02 LK Repeating  process in 22
2021-11-22 08:54:03 LK Repeating  process in 21
2021-11-22 08:54:04 LK Repeating  process in 20
2021-11-22 08:54:05 LK Repeating  process in 19
2021-11-22 08:54:06 LK Repeating  process in 18
2021-11-22 08:54:07 LK Repeating  process in 17
2021-11-22 08:54:08 LK Repeating  process in 16
2021-11-22 08:54:09 LK Repeating  process in 15
2021-11-22 08:54:10 LK Repeating  process in 14
2021-11-22 08:54:11 LK Repeating  process in 13
2021-11-22 08:54:12 LK Repeating  process in 12
2021-11-22 08:54:13 LK Repeating  process in 11
2021-11-22 08:54:14 LK Repeating  process in 10
2021-11-22 08:54:15 LK Repeating  process in 9
2021-11-22 08:54:16 LK Repeating  process in 8
2021-11-22 08:54:17 LK Repeating  process in 7
2021-11-22 08:54:18 LK Repeating  process in 6
2021-11-22 08:54:19 LK Repeating  process in 5
2021-11-22 08:54:20 LK Repeating  process in 4
2021-11-22 08:54:21 LK Repeating  process in 3
2021-11-22 08:54:22 LK Repeating  process in 2
2021-11-22 08:54:23 LK Repeating  process in 1
2021-11-22 08:54:24 LK Repeating  process in 0
2021-11-22 08:54:25 LK Starting rundown download
2021-11-22 08:54:37 LK Converting from NSML to dict
2021-11-22 08:54:37 LK Calculating backtimes
2021-11-22 08:54:37 LK Converting dict to json
2021-11-22 08:54:38 LK Uploading json files to AWS
2021-11-22 08:54:38 LK Repeating  process in 29
2021-11-22 08:54:39 LK Repeating  process in 28
2021-11-22 08:54:40 LK Repeating  process in 27
2021-11-22 08:54:41 LK Repeating  process in 26
2021-11-22 08:54:43 LK Repeating  process in 25
2021-11-22 08:54:44 LK Repeating  process in 24
2021-11-22 08:54:45 LK Repeating  process in 23
2021-11-22 08:54:46 LK Repeating  process in 22
2021-11-22 08:54:47 LK Repeating  process in 21
2021-11-22 08:54:48 LK Repeating  process in 20
2021-11-22 08:54:49 LK Repeating  process in 19
2021-11-22 08:54:50 LK Repeating  process in 18
2021-11-22 08:54:51 LK Repeating  process in 17
2021-11-22 08:54:52 LK Repeating  process in 16
2021-11-22 08:54:53 LK Repeating  process in 15
2021-11-22 08:54:54 LK Repeating  process in 14
2021-11-22 08:54:55 LK Repeating  process in 13
2021-11-22 08:54:56 LK Repeating  process in 12
2021-11-22 08:54:57 LK Repeating  process in 11
2021-11-22 08:54:58 LK Repeating  process in 10
2021-11-22 08:54:59 LK Repeating  process in 9
2021-11-22 08:55:00 LK Repeating  process in 8
2021-11-22 08:55:01 LK Repeating  process in 7
2021-11-22 08:55:02 LK Repeating  process in 6
2021-11-22 08:55:03 LK Repeating  process in 5
2021-11-22 08:55:04 LK Repeating  process in 4
2021-11-22 08:55:05 LK Repeating  process in 3
2021-11-22 08:55:06 LK Repeating  process in 2
2021-11-22 08:55:07 LK Repeating  process in 1
2021-11-22 08:55:08 LK Repeating  process in 0
2021-11-22 08:55:09 LK Starting rundown download
2021-11-22 08:55:21 LK Converting from NSML to dict
2021-11-22 08:55:21 LK Calculating backtimes
2021-11-22 08:55:21 LK Converting dict to json
2021-11-22 08:55:21 LK Uploading json files to AWS
2021-11-22 08:55:21 LK Repeating  process in 29
2021-11-22 08:55:22 LK Repeating  process in 28
2021-11-22 08:55:23 LK Repeating  process in 27
2021-11-22 08:55:24 LK Repeating  process in 26
2021-11-22 08:55:25 LK Repeating  process in 25
2021-11-22 08:55:26 LK Repeating  process in 24
2021-11-22 08:55:27 LK Repeating  process in 23
2021-11-22 08:55:28 LK Repeating  process in 22
2021-11-22 08:55:29 LK Repeating  process in 21
2021-11-22 08:55:30 LK Repeating  process in 20
2021-11-22 08:55:31 LK Repeating  process in 19
2021-11-22 08:55:32 LK Repeating  process in 18
2021-11-22 08:55:33 LK Repeating  process in 17
2021-11-22 08:55:34 LK Repeating  process in 16
2021-11-22 08:55:35 LK Repeating  process in 15
2021-11-22 08:55:36 LK Repeating  process in 14
2021-11-22 08:55:37 LK Repeating  process in 13
2021-11-22 08:55:38 LK Repeating  process in 12
2021-11-22 08:55:39 LK Repeating  process in 11
2021-11-22 08:55:40 LK Repeating  process in 10
2021-11-22 08:55:41 LK Repeating  process in 9
2021-11-22 08:55:42 LK Repeating  process in 8
2021-11-22 08:55:43 LK Repeating  process in 7
2021-11-22 08:55:44 LK Repeating  process in 6
2021-11-22 08:55:45 LK Repeating  process in 5
2021-11-22 08:55:46 LK Repeating  process in 4
2021-11-22 08:55:47 LK Repeating  process in 3
2021-11-22 08:55:48 LK Repeating  process in 2
2021-11-22 08:55:49 LK Repeating  process in 1
2021-11-22 08:55:50 LK Repeating  process in 0
2021-11-22 08:55:51 LK Starting rundown download
2021-11-22 08:56:03 LK Converting from NSML to dict
2021-11-22 08:56:03 LK Calculating backtimes
2021-11-22 08:56:03 LK Converting dict to json
2021-11-22 08:56:04 LK Uploading json files to AWS
2021-11-22 08:56:04 LK Repeating  process in 29
2021-11-22 08:56:05 LK Repeating  process in 28
2021-11-22 08:56:06 LK Repeating  process in 27
2021-11-22 08:56:07 LK Repeating  process in 26
2021-11-22 08:56:08 LK Repeating  process in 25
2021-11-22 08:56:09 LK Repeating  process in 24
2021-11-22 08:56:10 LK Repeating  process in 23
2021-11-22 08:56:11 LK Repeating  process in 22
2021-11-22 08:56:12 LK Repeating  process in 21
2021-11-22 08:56:13 LK Repeating  process in 20
2021-11-22 08:56:14 LK Repeating  process in 19
2021-11-22 08:56:15 LK Repeating  process in 18
2021-11-22 08:56:16 LK Repeating  process in 17
2021-11-22 08:56:17 LK Repeating  process in 16
2021-11-22 08:56:18 LK Repeating  process in 15
2021-11-22 08:56:19 LK Repeating  process in 14
2021-11-22 08:56:20 LK Repeating  process in 13
2021-11-22 08:56:21 LK Repeating  process in 12
2021-11-22 08:56:22 LK Repeating  process in 11
2021-11-22 08:56:23 LK Repeating  process in 10
2021-11-22 08:56:24 LK Repeating  process in 9
2021-11-22 08:56:25 LK Repeating  process in 8
2021-11-22 08:56:26 LK Repeating  process in 7
2021-11-22 08:56:27 LK Repeating  process in 6
2021-11-22 08:56:28 LK Repeating  process in 5
2021-11-22 08:56:29 LK Repeating  process in 4
2021-11-22 08:56:30 LK Repeating  process in 3
2021-11-22 08:56:31 LK Repeating  process in 2
2021-11-22 08:56:32 LK Repeating  process in 1
2021-11-22 08:56:33 LK Repeating  process in 0
2021-11-22 08:56:34 LK Starting rundown download
2021-11-22 08:56:46 LK Converting from NSML to dict
2021-11-22 08:56:46 LK Calculating backtimes
2021-11-22 08:56:46 LK Converting dict to json
2021-11-22 08:56:47 LK Uploading json files to AWS
2021-11-22 08:56:47 LK Repeating  process in 29
2021-11-22 08:56:48 LK Repeating  process in 28
2021-11-22 08:56:49 LK Repeating  process in 27
2021-11-22 08:56:50 LK Repeating  process in 26
2021-11-22 08:56:51 LK Repeating  process in 25
2021-11-22 08:56:52 LK Repeating  process in 24
2021-11-22 08:56:53 LK Repeating  process in 23
2021-11-22 08:56:54 LK Repeating  process in 22
2021-11-22 08:56:55 LK Repeating  process in 21
2021-11-22 08:56:56 LK Repeating  process in 20
2021-11-22 08:56:57 LK Repeating  process in 19
2021-11-22 08:56:58 LK Repeating  process in 18
2021-11-22 08:56:59 LK Repeating  process in 17
2021-11-22 08:57:00 LK Repeating  process in 16
2021-11-22 08:57:01 LK Repeating  process in 15
2021-11-22 08:57:02 LK Repeating  process in 14
2021-11-22 08:57:03 LK Repeating  process in 13
2021-11-22 08:57:04 LK Repeating  process in 12
2021-11-22 08:57:05 LK Repeating  process in 11
2021-11-22 08:57:06 LK Repeating  process in 10
2021-11-22 08:57:07 LK Repeating  process in 9
2021-11-22 08:57:08 LK Repeating  process in 8
2021-11-22 08:57:09 LK Repeating  process in 7
2021-11-22 08:57:10 LK Repeating  process in 6
2021-11-22 08:57:11 LK Repeating  process in 5
2021-11-22 08:57:12 LK Repeating  process in 4
2021-11-22 08:57:13 LK Repeating  process in 3
2021-11-22 08:57:14 LK Repeating  process in 2
2021-11-22 08:57:15 LK Repeating  process in 1
2021-11-22 08:57:16 LK Repeating  process in 0
2021-11-22 08:57:17 LK Starting rundown download
2021-11-22 08:57:29 LK Converting from NSML to dict
2021-11-22 08:57:29 LK Calculating backtimes
2021-11-22 08:57:29 LK Converting dict to json
2021-11-22 08:57:29 LK Uploading json files to AWS
2021-11-22 08:57:29 LK Repeating  process in 29
2021-11-22 08:57:30 LK Repeating  process in 28
2021-11-22 08:57:31 LK Repeating  process in 27
